cores,time
1,59
2,60
3,51
4,46
5,46
6,45
7,45
8,45
9,45
10,57
11,62
12,62
13,61
14,61
15,60
16,60
17,61
18,60
19,59
20,60
21,59
22,59
23,58
24,57
25,57
26,54
27,56
28,55
29,53
30,55
31,53
32,53
33,53
34,53
35,52
36,50
37,51
38,52
39,50
40,51
