cores,time
1,1033
2,518
3,345
4,260
5,211
6,175
7,150
8,135
9,119
10,107
11,98
12,91
13,83
14,79
15,74
16,70
17,66
18,63
19,60
20,59
21,55
22,53
23,50
24,48
25,50
26,48
27,44
28,44
29,41
30,41
31,42
32,42
33,39
34,42
35,40
36,35
37,34
38,36
39,35
40,35
