cores,time
1,1067
2,552
3,374
4,283
5,228
6,192
7,167
8,147
9,134
10,125
11,121
12,117
13,113
14,107
15,103
16,100
17,96
18,92
19,90
20,87
21,84
22,81
23,80
24,78
25,76
26,74
27,72
28,71
29,68
30,68
31,66
32,65
33,64
34,63
35,63
36,62
37,61
38,60
39,89
40,61
