cores,time
1,10128
2,5080
3,3393
4,2547
5,2039
6,1699
7,1458
8,1276
9,1135
10,1025
11,932
12,856
13,791
14,737
15,692
16,651
17,614
18,584
19,556
20,530
21,508
22,487
23,466
24,448
25,433
26,416
27,402
28,389
29,376
30,365
31,354
32,344
33,334
34,324
35,317
36,308
37,300
38,293
39,287
40,300
