cores,time
1,1025
2,549
3,385
4,312
5,263
6,229
7,204
8,186
9,170
10,159
11,151
12,143
13,138
14,130
15,126
16,124
17,118
18,116
19,114
20,112
21,110
22,108
23,105
24,103
25,102
26,100
27,99
28,98
29,97
30,96
31,94
32,93
33,92
34,92
35,91
36,90
37,89
38,89
39,88
40,89
