cores,time
1,10129
2,5081
3,3398
4,2548
5,2040
6,1701
7,1459
8,1403
9,1261
10,1165
11,1088
12,991
13,952
14,924
15,902
16,805
17,842
18,802
19,901
20,839
21,947
22,771
23,813
24,780
25,767
26,759
27,787
28,708
29,740
30,715
31,742
32,713
33,684
34,723
35,699
36,655
37,649
38,672
39,635
40,650
