cores,time
1,598
2,541
3,499
4,456
5,468
6,493
7,468
8,476
9,474
10,651
11,695
12,693
13,686
14,676
15,663
16,673
17,679
18,690
19,679
20,679
21,660
22,634
23,633
24,615
25,596
26,585
27,579
28,585
29,569
30,554
31,551
32,556
33,555
34,538
35,555
36,562
37,549
38,588
39,565
40,546
