cores,time
1,1073
2,555
3,379
4,292
5,239
6,206
7,183
8,166
9,155
10,152
11,154
12,154
13,152
14,151
15,152
16,151
17,153
18,154
19,158
20,154
21,154
22,154
23,154
24,154
25,153
26,152
27,153
28,151
29,153
30,153
31,153
32,151
33,156
34,158
35,156
36,158
37,160
38,160
39,162
40,167
