cores,time
1,83198
2,92411
3,87997
4,89266
5,88375
6,88520
7,86238
8,86495
9,95224
10,89771
11,88786
12,86197
13,88586
14,92956
15,87085
16,100928
17,95476
18,89868
19,96655
20,88095
21,87317
22,89487
23,89888
24,90513
25,87320
26,91713
27,88786
28,96047
29,101877
30,87765
31,100106
32,87830
33,97524
34,88793
35,88855
36,88326
37,92533
38,97041
39,91733
40,92573
