cores,time
1,10372
2,5200
3,3474
4,2608
5,2087
6,1740
7,1492
8,1306
9,1162
10,1047
11,954
12,876
13,810
14,754
15,705
16,665
17,630
18,597
19,569
20,542
21,519
22,497
23,476
24,458
25,441
26,425
27,412
28,398
29,386
30,373
31,361
32,352
33,342
34,332
35,324
36,315
37,309
38,300
39,294
40,286
