cores,time
1,5458
2,5771
3,5261
4,5039
5,4513
6,4489
7,4585
8,4530
9,4531
10,5847
11,6143
12,6261
13,6298
14,6150
15,6115
16,6247
17,6209
18,6224
19,6160
20,6238
21,6046
22,6043
23,5945
24,5685
25,5543
26,5636
27,5531
28,5427
29,5381
30,5379
31,5388
32,5242
33,5319
34,5254
35,5224
36,5156
37,5172
38,5116
39,5242
40,5093
