cores,time
1,1026
2,527
3,365
4,277
5,226
6,191
7,166
8,147
9,133
10,121
11,112
12,104
13,97
14,92
15,87
16,84
17,79
18,76
19,74
20,71
21,70
22,68
23,65
24,64
25,62
26,61
27,60
28,59
29,58
30,57
31,56
32,56
33,55
34,55
35,55
36,54
37,54
38,53
39,53
40,53
